2023-11-30 09:52:41 status half-installed ncurses-base:all 6.4+20231121-1
2023-11-30 09:52:41 status unpacked ncurses-base:all 6.4+20231121-1
2023-11-30 09:52:42 install ncurses-bin:loong64 <none> 6.4+20231121-1
2023-11-30 09:52:42 status half-installed ncurses-bin:loong64 6.4+20231121-1
2023-11-30 09:52:42 status unpacked ncurses-bin:loong64 6.4+20231121-1
2023-11-30 09:52:42 install passwd:loong64 <none> 1:4.13+dfsg1-3
2023-11-30 09:52:42 status half-installed passwd:loong64 1:4.13+dfsg1-3
2023-11-30 09:52:43 status unpacked passwd:loong64 1:4.13+dfsg1-3
2023-11-30 09:52:43 upgrade perl-base:loong64 5.36.0-10 5.36.0-10
2023-11-30 09:52:43 status half-configured perl-base:loong64 5.36.0-10
2023-11-30 09:52:43 status unpacked perl-base:loong64 5.36.0-10
2023-11-30 09:52:43 status half-installed perl-base:loong64 5.36.0-10
2023-11-30 09:52:45 status unpacked perl-base:loong64 5.36.0-10
2023-11-30 09:52:46 install sysvinit-utils:loong64 <none> 3.08-3
2023-11-30 09:52:46 status half-installed sysvinit-utils:loong64 3.08-3
2023-11-30 09:52:46 status unpacked sysvinit-utils:loong64 3.08-3
2023-11-30 09:52:46 install tar:loong64 <none> 1.34+dfsg-1.2+b1
2023-11-30 09:52:46 status half-installed tar:loong64 1.34+dfsg-1.2+b1
2023-11-30 09:52:46 status unpacked tar:loong64 1.34+dfsg-1.2+b1
2023-11-30 09:52:47 install tzdata:all <none> 2023c-11
2023-11-30 09:52:47 status half-installed tzdata:all 2023c-11
2023-11-30 09:52:47 status unpacked tzdata:all 2023c-11
2023-11-30 09:52:47 install usr-is-merged:all <none> 38
2023-11-30 09:52:47 status half-installed usr-is-merged:all 38
2023-11-30 09:52:48 status not-installed usr-is-merged:all <none>
2023-11-30 09:52:48 install zlib1g:loong64 <none> 1:1.3.dfsg-3
2023-11-30 09:52:48 status half-installed zlib1g:loong64 1:1.3.dfsg-3
2023-11-30 09:52:48 status unpacked zlib1g:loong64 1:1.3.dfsg-3
2023-11-30 09:52:48 install bsdutils:loong64 <none> 1:2.38.1-5+loong64
2023-11-30 09:52:48 status half-installed bsdutils:loong64 1:2.38.1-5+loong64
2023-11-30 09:52:48 status unpacked bsdutils:loong64 1:2.38.1-5+loong64
2023-11-30 09:52:48 install gcc-12-base:loong64 <none> 12.2.0-14+loong64.1
2023-11-30 09:52:48 status half-installed gcc-12-base:loong64 12.2.0-14+loong64.1
